date,filter,number,duration,binning,gain,sensorCooling,fNumber,darks,flats,flatDarks,bias,bortle,meanSqm,meanFwhm,temperature
2023-12-11,5222,17,120.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-11,5232,21,120.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-11,5249,12,300.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-11,5284,63,120.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-11,5311,21,120.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-12,5222,9,120.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-12,5232,9,120.0,1.0,56.0,-10,,0,0,0,0,,,2.16,-99.0
2023-12-12,5249,6,300.0,1.0,56.0,-10,4.5,0,0,0,0,0.0,0.0,2.16,-99.0
2023-12-12,5284,26,120.0,1.0,56.0,-10,4.5,0,0,0,0,0.0,0.0,2.16,-99.0
2023-12-12,5311,9,120.0,1.0,56.0,-10,4.5,0,0,0,0,0.0,0.0,2.16,-99.0
